farm_id,farm_name,latitude,longitude,crop_type
sdf_grid_0026,SDF Farm 0026,38.0,-121.55,field_crop
sdf_grid_0027,SDF Farm 0027,38.0,-121.5,grapes
sdf_grid_0029,SDF Farm 0029,38.0,-121.4,field_crop
sdf_grid_0059,SDF Farm 0059,38.05,-121.55,field_crop
sdf_grid_0066,SDF Farm 0066,38.05,-121.2,walnut
sdf_grid_0092,SDF Farm 0092,38.1,-121.55,field_crop
sdf_grid_0093,SDF Farm 0093,38.1,-121.5,field_crop
sdf_grid_0094,SDF Farm 0094,38.1,-121.45,field_crop
sdf_grid_0096,SDF Farm 0096,38.1,-121.35,orchard
sdf_grid_0097,SDF Farm 0097,38.1,-121.3,grapes
sdf_grid_0099,SDF Farm 0099,38.1,-121.2,grapes
sdf_grid_0123,SDF Farm 0123,38.15,-121.65,field_crop
sdf_grid_0124,SDF Farm 0124,38.15,-121.6,field_crop
sdf_grid_0125,SDF Farm 0125,38.15,-121.55,field_crop
sdf_grid_0126,SDF Farm 0126,38.15,-121.5,field_crop
sdf_grid_0127,SDF Farm 0127,38.15,-121.45,field_crop
sdf_grid_0129,SDF Farm 0129,38.15,-121.35,grapes
sdf_grid_0140,SDF Farm 0140,38.2,-122.45,grapes
sdf_grid_0157,SDF Farm 0157,38.2,-121.6,field_crop
sdf_grid_0159,SDF Farm 0159,38.2,-121.5,field_crop
sdf_grid_0161,SDF Farm 0161,38.2,-121.4,grapes
sdf_grid_0162,SDF Farm 0162,38.2,-121.35,grapes
sdf_grid_0163,SDF Farm 0163,38.2,-121.3,grapes
sdf_grid_0174,SDF Farm 0174,38.25,-122.4,grapes
sdf_grid_0189,SDF Farm 0189,38.25,-121.65,field_crop
sdf_grid_0190,SDF Farm 0190,38.25,-121.6,field_crop
sdf_grid_0193,SDF Farm 0193,38.25,-121.45,grapes
sdf_grid_0195,SDF Farm 0195,38.25,-121.35,field_crop
sdf_grid_0213,SDF Farm 0213,38.3,-122.1,grapes
sdf_grid_0217,SDF Farm 0217,38.3,-121.9,almond
sdf_grid_0222,SDF Farm 0222,38.3,-121.65,field_crop
sdf_grid_0224,SDF Farm 0224,38.3,-121.55,field_crop
sdf_grid_0228,SDF Farm 0228,38.3,-121.35,almond
sdf_grid_0230,SDF Farm 0230,38.3,-121.25,grapes
sdf_grid_0232,SDF Farm 0232,38.35,-122.8,grapes
sdf_grid_0233,SDF Farm 0233,38.35,-122.75,orchard
sdf_grid_0241,SDF Farm 0241,38.35,-122.35,grapes
sdf_grid_0256,SDF Farm 0256,38.35,-121.6,grapes
sdf_grid_0257,SDF Farm 0257,38.35,-121.55,orchard
sdf_grid_0258,SDF Farm 0258,38.35,-121.5,almond
sdf_grid_0261,SDF Farm 0261,38.35,-121.35,almond
sdf_grid_0263,SDF Farm 0263,38.35,-121.25,grapes
sdf_grid_0264,SDF Farm 0264,38.35,-121.2,grapes
sdf_grid_0266,SDF Farm 0266,38.4,-122.75,grapes
sdf_grid_0274,SDF Farm 0274,38.4,-122.35,grapes
sdf_grid_0283,SDF Farm 0283,38.4,-121.9,grapes
sdf_grid_0284,SDF Farm 0284,38.4,-121.85,almond
sdf_grid_0285,SDF Farm 0285,38.4,-121.8,almond
sdf_grid_0286,SDF Farm 0286,38.4,-121.75,field_crop
sdf_grid_0288,SDF Farm 0288,38.4,-121.65,field_crop
sdf_grid_0295,SDF Farm 0295,38.4,-121.3,field_crop
sdf_grid_0298,SDF Farm 0298,38.45,-122.8,grapes
sdf_grid_0306,SDF Farm 0306,38.45,-122.4,grapes
sdf_grid_0316,SDF Farm 0316,38.45,-121.9,field_crop
sdf_grid_0320,SDF Farm 0320,38.45,-121.7,field_crop
sdf_grid_0323,SDF Farm 0323,38.45,-121.55,field_crop
sdf_grid_0324,SDF Farm 0324,38.45,-121.5,grapes
sdf_grid_0329,SDF Farm 0329,38.45,-121.25,grapes
sdf_grid_0337,SDF Farm 0337,38.5,-122.5,grapes
sdf_grid_0338,SDF Farm 0338,38.5,-122.45,grapes
sdf_grid_0339,SDF Farm 0339,38.5,-122.4,grapes
sdf_grid_0347,SDF Farm 0347,38.5,-122.0,walnut
sdf_grid_0351,SDF Farm 0351,38.5,-121.8,walnut
sdf_grid_0354,SDF Farm 0354,38.5,-121.65,grapes
sdf_grid_0373,SDF Farm 0373,38.55,-122.35,grapes
sdf_grid_0381,SDF Farm 0381,38.55,-121.95,grapes
sdf_grid_0382,SDF Farm 0382,38.55,-121.9,walnut
sdf_grid_0384,SDF Farm 0384,38.55,-121.8,almond
sdf_grid_0387,SDF Farm 0387,38.55,-121.65,field_crop
sdf_grid_0398,SDF Farm 0398,38.6,-122.75,grapes
sdf_grid_0414,SDF Farm 0414,38.6,-121.95,field_crop
sdf_grid_0415,SDF Farm 0415,38.6,-121.9,almond
sdf_grid_0417,SDF Farm 0417,38.6,-121.8,almond
sdf_grid_0420,SDF Farm 0420,38.6,-121.65,field_crop
sdf_grid_0430,SDF Farm 0430,38.65,-122.8,grapes
sdf_grid_0452,SDF Farm 0452,38.65,-121.7,field_crop
sdf_grid_0453,SDF Farm 0453,38.65,-121.65,field_crop
sdf_grid_0479,SDF Farm 0479,38.7,-122.0,almond
sdf_grid_0480,SDF Farm 0480,38.7,-121.95,almond
sdf_grid_0482,SDF Farm 0482,38.7,-121.85,field_crop
sdf_grid_0484,SDF Farm 0484,38.7,-121.75,nut
sdf_grid_0485,SDF Farm 0485,38.7,-121.7,field_crop
sdf_grid_0486,SDF Farm 0486,38.7,-121.65,field_crop
sdf_grid_0488,SDF Farm 0488,38.7,-121.55,field_crop
sdf_grid_0489,SDF Farm 0489,38.7,-121.5,field_crop
sdf_grid_0502,SDF Farm 0502,38.75,-122.5,grapes
sdf_grid_0509,SDF Farm 0509,38.75,-122.15,walnut
sdf_grid_0515,SDF Farm 0515,38.75,-121.85,almond
sdf_grid_0517,SDF Farm 0517,38.75,-121.75,grapes
sdf_grid_0520,SDF Farm 0520,38.75,-121.6,grapes
sdf_grid_0521,SDF Farm 0521,38.75,-121.55,field_crop
sdf_grid_0522,SDF Farm 0522,38.75,-121.5,field_crop
sdf_grid_0530,SDF Farm 0530,38.8,-122.75,grapes
sdf_grid_0545,SDF Farm 0545,38.8,-122.0,almond
sdf_grid_0547,SDF Farm 0547,38.8,-121.9,walnut
sdf_grid_0548,SDF Farm 0548,38.8,-121.85,almond
sdf_grid_0550,SDF Farm 0550,38.8,-121.75,field_crop
sdf_grid_0551,SDF Farm 0551,38.8,-121.7,field_crop
sdf_grid_0552,SDF Farm 0552,38.8,-121.65,field_crop
sdf_grid_0554,SDF Farm 0554,38.8,-121.55,field_crop
sdf_grid_0555,SDF Farm 0555,38.8,-121.5,almond
sdf_grid_0579,SDF Farm 0579,38.85,-121.95,almond
sdf_grid_0581,SDF Farm 0581,38.85,-121.85,field_crop
sdf_grid_0582,SDF Farm 0582,38.85,-121.8,field_crop
sdf_grid_0584,SDF Farm 0584,38.85,-121.7,field_crop
sdf_grid_0586,SDF Farm 0586,38.85,-121.6,field_crop
sdf_grid_0588,SDF Farm 0588,38.85,-121.5,field_crop
sdf_grid_0589,SDF Farm 0589,38.85,-121.45,field_crop
sdf_grid_0596,SDF Farm 0596,38.9,-122.75,grapes
sdf_grid_0597,SDF Farm 0597,38.9,-122.7,grapes
sdf_grid_0610,SDF Farm 0610,38.9,-122.05,almond
sdf_grid_0611,SDF Farm 0611,38.9,-122.0,almond
sdf_grid_0613,SDF Farm 0613,38.9,-121.9,field_crop
sdf_grid_0615,SDF Farm 0615,38.9,-121.8,field_crop
sdf_grid_0616,SDF Farm 0616,38.9,-121.75,field_crop
sdf_grid_0617,SDF Farm 0617,38.9,-121.7,field_crop
sdf_grid_0618,SDF Farm 0618,38.9,-121.65,field_crop
sdf_grid_0620,SDF Farm 0620,38.9,-121.55,field_crop
sdf_grid_0621,SDF Farm 0621,38.9,-121.5,field_crop
sdf_grid_0622,SDF Farm 0622,38.9,-121.45,field_crop
sdf_grid_0001,SDF Farm 0001,38.0,-122.8,mixed_ag
sdf_grid_0002,SDF Farm 0002,38.0,-122.75,mixed_ag
sdf_grid_0003,SDF Farm 0003,38.0,-122.7,mixed_ag
sdf_grid_0004,SDF Farm 0004,38.0,-122.65,mixed_ag
sdf_grid_0005,SDF Farm 0005,38.0,-122.6,mixed_ag
sdf_grid_0006,SDF Farm 0006,38.0,-122.55,mixed_ag
sdf_grid_0007,SDF Farm 0007,38.0,-122.5,mixed_ag
sdf_grid_0008,SDF Farm 0008,38.0,-122.45,mixed_ag
sdf_grid_0009,SDF Farm 0009,38.0,-122.4,mixed_ag
sdf_grid_0010,SDF Farm 0010,38.0,-122.35,mixed_ag
sdf_grid_0011,SDF Farm 0011,38.0,-122.3,mixed_ag
sdf_grid_0012,SDF Farm 0012,38.0,-122.25,mixed_ag
sdf_grid_0013,SDF Farm 0013,38.0,-122.2,mixed_ag
sdf_grid_0014,SDF Farm 0014,38.0,-122.15,mixed_ag
sdf_grid_0015,SDF Farm 0015,38.0,-122.1,mixed_ag
sdf_grid_0016,SDF Farm 0016,38.0,-122.05,mixed_ag
sdf_grid_0017,SDF Farm 0017,38.0,-122.0,mixed_ag
sdf_grid_0018,SDF Farm 0018,38.0,-121.95,mixed_ag
sdf_grid_0019,SDF Farm 0019,38.0,-121.9,mixed_ag
sdf_grid_0020,SDF Farm 0020,38.0,-121.85,mixed_ag
sdf_grid_0021,SDF Farm 0021,38.0,-121.8,mixed_ag
sdf_grid_0022,SDF Farm 0022,38.0,-121.75,mixed_ag
sdf_grid_0023,SDF Farm 0023,38.0,-121.7,mixed_ag
sdf_grid_0024,SDF Farm 0024,38.0,-121.65,mixed_ag
sdf_grid_0025,SDF Farm 0025,38.0,-121.6,mixed_ag
sdf_grid_0028,SDF Farm 0028,38.0,-121.45,mixed_ag
sdf_grid_0030,SDF Farm 0030,38.0,-121.35,mixed_ag
sdf_grid_0031,SDF Farm 0031,38.0,-121.3,mixed_ag
sdf_grid_0032,SDF Farm 0032,38.0,-121.25,mixed_ag
sdf_grid_0033,SDF Farm 0033,38.0,-121.2,mixed_ag
sdf_grid_0034,SDF Farm 0034,38.05,-122.8,mixed_ag
sdf_grid_0035,SDF Farm 0035,38.05,-122.75,mixed_ag
sdf_grid_0036,SDF Farm 0036,38.05,-122.7,mixed_ag
sdf_grid_0037,SDF Farm 0037,38.05,-122.65,mixed_ag
sdf_grid_0038,SDF Farm 0038,38.05,-122.6,mixed_ag
sdf_grid_0039,SDF Farm 0039,38.05,-122.55,mixed_ag
sdf_grid_0040,SDF Farm 0040,38.05,-122.5,mixed_ag
sdf_grid_0041,SDF Farm 0041,38.05,-122.45,mixed_ag
sdf_grid_0042,SDF Farm 0042,38.05,-122.4,mixed_ag
sdf_grid_0043,SDF Farm 0043,38.05,-122.35,mixed_ag
sdf_grid_0044,SDF Farm 0044,38.05,-122.3,mixed_ag
sdf_grid_0045,SDF Farm 0045,38.05,-122.25,mixed_ag
sdf_grid_0046,SDF Farm 0046,38.05,-122.2,mixed_ag
sdf_grid_0047,SDF Farm 0047,38.05,-122.15,mixed_ag
sdf_grid_0048,SDF Farm 0048,38.05,-122.1,mixed_ag
sdf_grid_0049,SDF Farm 0049,38.05,-122.05,mixed_ag
sdf_grid_0050,SDF Farm 0050,38.05,-122.0,mixed_ag
sdf_grid_0051,SDF Farm 0051,38.05,-121.95,mixed_ag
sdf_grid_0052,SDF Farm 0052,38.05,-121.9,mixed_ag
sdf_grid_0053,SDF Farm 0053,38.05,-121.85,mixed_ag
sdf_grid_0054,SDF Farm 0054,38.05,-121.8,mixed_ag
sdf_grid_0055,SDF Farm 0055,38.05,-121.75,mixed_ag
sdf_grid_0056,SDF Farm 0056,38.05,-121.7,mixed_ag
sdf_grid_0057,SDF Farm 0057,38.05,-121.65,mixed_ag
sdf_grid_0058,SDF Farm 0058,38.05,-121.6,mixed_ag
sdf_grid_0060,SDF Farm 0060,38.05,-121.5,mixed_ag
sdf_grid_0061,SDF Farm 0061,38.05,-121.45,mixed_ag
sdf_grid_0062,SDF Farm 0062,38.05,-121.4,mixed_ag
sdf_grid_0063,SDF Farm 0063,38.05,-121.35,mixed_ag
sdf_grid_0064,SDF Farm 0064,38.05,-121.3,mixed_ag
